airport,urban_area,annual_passengers_year_ended_nov2025,population_2025,passengers_per_resident,airport_source,population_source
Cairns,Cairns,4717433,164149,28.738725,webmonthlyairportnovember2025.xlsx,32180DS0004_2001-25.xlsx Table 2
Darwin,Darwin,1932419,145019,13.325282,webmonthlyairportnovember2025.xlsx,32180DS0004_2001-25.xlsx Table 2
Hobart,Hobart,2865827,233736,12.260957,webmonthlyairportnovember2025.xlsx,32180DS0004_2001-25.xlsx Table 2
Brisbane,Brisbane,24384331,2745086,8.882902,webmonthlyairportnovember2025.xlsx,32180DS0004_2001-25.xlsx Table 2
Sydney,Sydney,42419396,5219674,8.126829,webmonthlyairportnovember2025.xlsx,32180DS0004_2001-25.xlsx Table 2
Gold Coast,Gold Coast - Tweed Heads,6182701,761634,8.11768,webmonthlyairportnovember2025.xlsx,32180DS0004_2001-25.xlsx Table 2
Melbourne,Melbourne,36520298,5328274,6.854058,webmonthlyairportnovember2025.xlsx,32180DS0004_2001-25.xlsx Table 2
Perth,Perth,14550201,2430757,5.985872,webmonthlyairportnovember2025.xlsx,32180DS0004_2001-25.xlsx Table 2
Adelaide,Adelaide,8586102,1470938,5.837161,webmonthlyairportnovember2025.xlsx,32180DS0004_2001-25.xlsx Table 2
Canberra,Canberra - Queanbeyan,2800771,521049,5.375255,webmonthlyairportnovember2025.xlsx,32180DS0004_2001-25.xlsx Table 2
