rank,route,passengers,rpks,available_seats,asks,load_factor_pct,trips,source_period
1,Melbourne - Sydney,674539,478715119,769480,546123517,87.657,4396,December 2025
2,Brisbane - Sydney,382656,288139968,435027,327575331,87.961,2588,December 2025
3,Brisbane - Melbourne,333591,461204119,392580,542723684,84.98,2384,December 2025
4,Gold Coast - Sydney,233904,159054720,264677,179980360,88.373,1494,December 2025
5,Gold Coast - Melbourne,219171,292056580,252829,336869526,86.697,1393,December 2025
6,Adelaide - Melbourne,215285,138428255,253603,163066729,84.891,1515,December 2025
7,Melbourne - Perth,197634,534797604,224481,607445586,88.04,1253,December 2025
8,Adelaide - Sydney,175970,205356990,213078,248662026,82.585,1255,December 2025
9,Perth - Sydney,159485,523748740,185609,609539956,85.925,1010,December 2025
10,Hobart - Melbourne,140616,86900688,170678,105479004,82.387,944,December 2025
11,Brisbane - Cairns,109919,152897329,123172,171332252,89.24,881,December 2025
12,Brisbane - Perth,104073,376223895,123492,446423580,84.275,702,December 2025
13,Hobart - Sydney,88455,91904745,110282,114582998,80.208,597,December 2025
14,Brisbane - Townsville,86398,96074576,104074,115730288,83.016,770,December 2025
15,Launceston - Melbourne,83514,39752664,102054,48577704,81.833,768,December 2025
16,Adelaide - Brisbane,81790,132663380,97874,158751628,83.567,772,December 2025
17,Cairns - Sydney,79651,156992121,92334,181990314,86.264,511,December 2025
18,Sunshine Coast - Sydney,76283,63848871,89318,74759166,85.406,513,December 2025
19,Melbourne - Sunshine Coast,74642,108529468,86362,125570348,86.429,478,December 2025
20,Canberra - Melbourne,74595,35059650,95406,44840820,78.187,705,December 2025
21,Brisbane - Mackay,73007,58186579,89112,71022264,81.927,737,December 2025
22,Cairns - Melbourne,68626,158594686,82416,190463376,83.268,437,December 2025
23,Adelaide - Perth,67030,142103600,82148,174153760,81.597,465,December 2025
24,Karratha - Perth,54746,68432500,77277,96596250,70.844,469,December 2025
25,Brisbane - Canberra,53701,51338156,69245,66198220,77.552,549,December 2025
26,Canberra - Sydney,46843,11054948,65134,15371624,71.918,1126,December 2025
27,Brisbane - Rockhampton,46777,24230486,54521,28241878,85.796,604,December 2025
28,Ballina - Sydney,44560,27270720,51916,31772592,85.831,352,December 2025
29,Brisbane - Newcastle,43136,26485504,52614,32304996,81.986,429,December 2025
30,Melbourne - Newcastle,40680,34008480,46530,38899080,87.427,298,December 2025
31,Perth - Port Hedland,39362,51642944,64931,85189472,60.621,406,December 2025
32,Launceston - Sydney,37075,33886550,43703,39944542,84.834,273,December 2025
33,Brisbane - Hobart,35374,63354834,42008,75236328,84.208,258,December 2025
34,Kalgoorlie - Perth,33948,18264024,56658,30482004,59.917,388,December 2025
35,Newman - Perth,33532,34169108,58856,59974264,56.973,354,December 2025
36,Brisbane - Proserpine,27641,24738695,31308,28020660,88.287,171,December 2025
37,Brisbane - Darwin,26666,76051432,32708,93283216,81.527,184,December 2025
38,Adelaide - Gold Coast,25943,41690401,28530,45847710,90.932,156,December 2025
39,Broome - Perth,25805,43274985,37447,62798619,68.911,243,December 2025
40,Darwin - Melbourne,22938,71818878,29362,91932422,78.121,164,December 2025
41,Hamilton Island - Sydney,20836,31795736,25660,39157160,81.2,146,December 2025
42,Brisbane - Hamilton Island,19065,16929720,24656,21894528,77.324,156,December 2025
43,Coffs Harbour - Sydney,18146,8038678,25830,11442690,70.252,368,December 2025
44,Brisbane - Launceston,17417,28981888,20775,34569600,83.836,123,December 2025
45,Brisbane - Gladstone,17090,7417060,25379,11014486,67.339,297,December 2025
46,Adelaide - Canberra,15813,15370236,22186,21564792,71.275,215,December 2025
47,Brisbane - Emerald,15649,10218797,22525,14708825,69.474,305,December 2025
48,Port Macquarie - Sydney,15608,5010168,21051,6757371,74.144,357,December 2025
49,Canberra - Gold Coast,15302,13649384,17122,15272824,89.37,94,December 2025
50,Adelaide - Port Lincoln,14330,3525180,23065,5673990,62.129,466,December 2025
51,Darwin - Perth,13439,35626789,19116,50676516,70.302,114,December 2025
52,Dubbo - Sydney,13423,4161130,20071,6222010,66.878,355,December 2025
53,Sydney - Wagga Wagga,13411,4921837,19524,7165308,68.69,328,December 2025
54,Devonport - Melbourne,13392,5517504,17932,7387984,74.682,287,December 2025
55,Albury - Sydney,13188,5960976,17980,8126960,73.348,306,December 2025
56,Melbourne - Mildura,12402,5667714,19424,8876768,63.849,356,December 2025
57,Brisbane - Mount Isa,11617,18273541,17888,28137824,64.943,179,December 2025
58,Brisbane - Bundaberg,11090,3182830,16586,4760182,66.864,273,December 2025
59,Geraldton - Perth,9699,3588630,18226,6743620,53.215,196,December 2025
60,Ayers Rock - Melbourne,9334,17827940,12068,23049880,77.345,66,December 2025
61,Adelaide - Alice Springs,7810,10277960,10972,14439152,71.181,134,December 2025
62,Brisbane - Moranbah,7286,5683080,15380,11996400,47.373,204,December 2025
